scientific_name_id,scientific_name,korean_name,family_scientific_name,family_korean_name,genus_scientific_name,genus_korean_name,species_name,subspecies_name,resource_type
14910,Cephalotaxus koreana Nakai,누은개비자나무,Cephalotaxaceae,개비자나무과,Cephalotaxus,개비자나무속,koreana,,자생종
14525,Isachne nipponensis Ohwi,누은기장대풀,Gramineae,벼과,Isachne,기장대풀속,nipponensis,,자생종
15629,Ribes triste Pall.,누은까치밥나무,Saxifragaceae,범의귀과,Ribes,까치밥나무속,triste,,자생종
9499,Mazus miquelii Makino,누은담배풀,Scrophulariaceae,현삼과,Mazus,주름잎속,miquelii,,자생종
19168,Caltha palustris L. var. palustris,누은동의나물,Ranunculaceae,미나리아재비과,Caltha,동의나물속,palustris,palustris,자생종
10272,Stellaria diffusa Willd. ex Schltdl.,누은별꽃,Caryophyllaceae,석죽과,Stellaria,별꽃속,diffusa,,자생종
5927,Juncus wallichianus J.Gay ex Laharpe,누은비녀골풀,Juncaceae,골풀과,Juncus,골풀속,wallichianus,,자생종
8456,Cardamine prorepens Fisch. ex DC.,누은산냉이,Cruciferae,십자화과,Cardamine,황새냉이속,prorepens,,자생종
16829,Salix divaricata var. metaformosa (Nakai) Kitag.,누은산버들,Salicaceae,버드나무과,Salix,버드나무속,divaricata,metaformosa,자생종
10392,Scorzonera austriaca subsp. glabra (Rupr.) Lipsch. & Krasch. ex Lipsch.,누은쇠채,Compositae,국화과,Scorzonera,쇠채속,austriaca,glabra,자생종
13527,Viola epipsila Ledeb.,누은오랑캐,Violaceae,제비꽃과,Viola,제비꽃속,epipsila,,자생종
13527,Viola epipsila Ledeb.,누은제비꽃,Violaceae,제비꽃과,Viola,제비꽃속,epipsila,,자생종
9499,Mazus miquelii Makino,누은주름잎,Scrophulariaceae,현삼과,Mazus,주름잎속,miquelii,,자생종
28580,Ficus benjamina 'Variegata',누진 벤자민,Moraceae,뽕나무과,Ficus,무화과나무속,benjamina,,재배품종
26159,Billbergia nutans H. Wendl.,누탄스빌베르기아,Bromeliaceae,파인애플과,Billbergia,빌베르기아속,nutans,,재배품종
